,prix m2,loyer m2
Marseille 1er Arrondissement,3 610 €/m2,17 €/m2
Marseille 2e Arrondissement,3 967 €/m2,17 €/m2
Marseille 3e Arrondissement,2 171 €/m2,16 €/m2
Marseille 4e Arrondissement,3 321 €/m2,16 €/m2
Marseille 5e Arrondissement,3 784 €/m2,18 €/m2
Marseille 6e Arrondissement,4 316 €/m2,18 €/m2
Marseille 7e Arrondissement,5 603 €/m2,19 €/m2
Marseille 8e Arrondissement,5 686 €/m2,18 €/m2
Marseille 9e Arrondissement,4 529 €/m2,17 €/m2
Marseille 10e Arrondissement,3 531 €/m2,16 €/m2
Marseille 11e Arrondissement,4 264 €/m2,16 €/m2
Marseille 12e Arrondissement,4 447 €/m2,16 €/m2
Marseille 13e Arrondissement,3 781 €/m2,16 €/m2
Marseille 14e Arrondissement,2 517 €/m2,14 €/m2
Marseille 15e Arrondissement,2 269 €/m2,14 €/m2
Marseille 16e Arrondissement,3 222 €/m2,16 €/m2
